"ImageName","Word","Category","WordBefore","WordAfter","WordPosition","WordLength","CharCount","NumCount","PunctCount","LineNumber","ContainsRealWord","IsInsuranceWord"
"bcbs.jpeg","enrcluie","none"," ","hams","0","8","8","0","8","0","false","false"
"bcbs.jpeg","hams","none","enrcluie"," ","1","4","4","0","4","0","true","false"
"bcbs.jpeg","first","none"," ","m","0","5","5","0","5","1","true","false"
"bcbs.jpeg","m","none","first","la$tname","1","1","1","0","1","1","false","false"
"bcbs.jpeg","la$tname","none","m","jr","2","8","7","0","7","1","false","false"
"bcbs.jpeg","jr","none","la$tname"," ","3","2","2","0","2","1","false","false"
"bcbs.jpeg","enroheele‘","none"," ","mam","0","10","9","0","9","2","false","false"
"bcbs.jpeg","mam","none","enroheele‘","004336","1","3","3","0","3","2","false","false"
"bcbs.jpeg","004336","none","mam"," ","2","6","0","6","6","2","false","false"
"bcbs.jpeg","dzwqzouuuquo","none"," ","ww","0","12","12","0","12","3","false","false"
"bcbs.jpeg","ww","none","dzwqzouuuquo","“4555","1","2","2","0","2","3","false","false"
"bcbs.jpeg","“4555","none","ww"," ","2","5","0","4","4","3","false","false"
"bcbs.jpeg","lssuox‘","none"," ","@0840)","0","7","6","0","6","4","false","false"
"bcbs.jpeg","@0840)","none","lssuox‘"," ","1","6","0","4","4","4","false","false"
"bcbs.jpeg","9101003777","none"," "," ","0","10","0","10","10","5","false","false"
"bcbs.jpeg","k","none"," ","denial","0","1","1","0","1","6","false","false"
"bcbs.jpeg","denial","none","k","vision","1","6","6","0","6","6","true","false"
"bcbs.jpeg","vision","none","denial","r","2","6","6","0","6","6","true","false"
"bcbs.jpeg","r","none","vision"," ","3","1","1","0","1","6","false","false"
"bcbs.jpeg","\—’","none"," ","//","0","3","0","0","0","7","false","false"
"bcbs.jpeg","//","none","\—’"," ","1","2","0","0","0","7","false","false"
"Sunshine.jpeg","‘","none"," ","mm»","0","1","0","0","0","0","false","false"
"Sunshine.jpeg","mm»","none","‘","'","1","3","2","0","2","0","false","false"
"Sunshine.jpeg","'","none","mm»",";","2","1","0","0","0","0","false","false"
"Sunshine.jpeg",";","none","'"," ","3","1","0","0","0","0","false","false"
"Sunshine.jpeg","p‘","none"," ",">","0","2","1","0","1","1","false","false"
"Sunshine.jpeg",">","none","p‘","1","1","1","0","0","0","1","false","false"
"Sunshine.jpeg","1","none",">"," ","2","1","0","1","1","1","false","false"
"Sunshine.jpeg","11","none"," ","‘","0","2","0","2","2","2","false","false"
"Sunshine.jpeg","‘","none","11","a","1","1","0","0","0","2","false","false"
"Sunshine.jpeg","a","none","‘","mu;","2","1","1","0","1","2","false","false"
"Sunshine.jpeg","mu;","none","a","15¢;","3","3","2","0","2","2","false","false"
"Sunshine.jpeg","15¢;","none","mu;","‘","4","4","0","2","2","2","false","false"
"Sunshine.jpeg","‘","none","15¢;","h","5","1","0","0","0","2","false","false"
"Sunshine.jpeg","h","none","‘","'","6","1","1","0","1","2","false","false"
"Sunshine.jpeg","'","none","h","piliwa'e-","7","1","0","0","0","2","false","false"
"Sunshine.jpeg","piliwa'e-","none","'"," ","8","9","7","0","7","2","false","false"
"Sunshine.jpeg","‘","none"," ","‘","0","1","0","0","0","3","false","false"
"Sunshine.jpeg","‘","none","‘","s~-::§>-~","1","1","0","0","0","3","false","false"
"Sunshine.jpeg","s~-::§>-~","none","‘","=ww§1~\;;':","2","9","1","0","1","3","false","false"
"Sunshine.jpeg","=ww§1~\;;':","none","s~-::§>-~","~","3","11","2","1","3","3","false","false"
"Sunshine.jpeg","~","none","=ww§1~\;;':","a»","4","1","0","0","0","3","false","false"
"Sunshine.jpeg","a»","none","~","‘","5","2","1","0","1","3","false","false"
"Sunshine.jpeg","‘","none","a»"," ","6","1","0","0","0","3","false","false"
"Sunshine.jpeg","1‘;74","none"," ","‘","0","5","0","3","3","4","false","false"
"Sunshine.jpeg","‘","none","1‘;74","v7","1","1","0","0","0","4","false","false"
"Sunshine.jpeg","v7","none","‘","v","2","2","1","1","2","4","false","false"
"Sunshine.jpeg","v","none","v7","‘","3","1","1","0","1","4","false","false"
"Sunshine.jpeg","‘","none","v"," ","4","1","0","0","0","4","false","false"
